multiplets,pos_in_ppm,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
metabolite44,3.3085,n,n,n,n,n,n,n,n,n,n
metabolite45,8.9295,n,n,n,n,n,n,n,n,n,n
metabolite45,8.7039,n,n,n,n,n,n,n,n,n,n
metabolite45,8.2396,n,n,n,n,n,n,n,n,n,n
metabolite45,7.5862,n,n,n,n,n,n,n,n,n,n
metabolite46,3.3657,n,n,n,n,n,n,n,n,n,n
metabolite46,3.1817,n,n,n,n,n,n,n,n,n,n
metabolite46,2.2347,n,n,n,n,n,n,n,n,n,n
metabolite46,1.8977,n,n,n,n,n,n,n,n,n,n
metabolite46,1.8136,n,n,n,n,n,n,n,n,n,n
metabolite46,1.6322,n,n,n,n,n,n,n,n,n,n
metabolite47,6.5085,n,n,n,n,n,n,n,n,n,n
metabolite48,5.1731,n,n,n,n,n,n,n,n,n,n
metabolite48,3.9315,n,n,n,n,n,n,n,n,n,n
metabolite48,3.8545,n,n,n,n,n,n,n,n,n,n
metabolite48,3.7985,n,n,n,n,n,n,n,n,n,n
metabolite48,3.6622,n,n,n,n,n,n,n,n,n,n
metabolite48,3.5659,n,n,n,n,n,n,n,n,n,n
metabolite49,3.8871,n,n,n,n,n,n,n,n,n,n
metabolite49,3.808,n,n,n,n,n,n,n,n,n,n
metabolite49,3.7384,n,n,n,n,n,n,n,n,n,n
metabolite49,3.686,n,n,n,n,n,n,n,n,n,n
metabolite49,3.6479,n,n,n,n,n,n,n,n,n,n
metabolite49,3.6057,n,n,n,n,n,n,n,n,n,n
metabolite49,3.4758,n,n,n,n,n,n,n,n,n,n
metabolite49,3.386,n,n,n,n,n,n,n,n,n,n
metabolite50,3.8838,n,n,n,n,n,n,n,n,n,n
metabolite50,3.3426,n,n,n,n,n,n,n,n,n,n
metabolite50,2.8266,n,n,n,n,n,n,n,n,n,n
metabolite50,2.4244,n,n,n,n,n,n,n,n,n,n
metabolite50,2.3767,n,n,n,n,n,n,n,n,n,n
metabolite50,2.3372,n,n,n,n,n,n,n,n,n,n
metabolite50,2.2495,n,n,n,n,n,n,n,n,n,n
metabolite50,2.2006,n,n,n,n,n,n,n,n,n,n
metabolite50,2.162,n,n,n,n,n,n,n,n,n,n
metabolite50,2.1167,n,n,n,n,n,n,n,n,n,n
metabolite50,1.973,n,n,n,n,n,n,n,n,n,n
metabolite51,4.1664,n,n,n,n,n,n,n,n,n,n
metabolite51,2.4928,n,n,n,n,n,n,n,n,n,n
metabolite51,2.3924,n,n,n,n,n,n,n,n,n,n
metabolite51,2.0259,n,n,n,n,n,n,n,n,n,n
metabolite52,7.7537,n,n,n,n,n,n,n,n,n,n
metabolite52,7.7311,n,n,n,n,n,n,n,n,n,n
metabolite52,7.6999,n,n,n,n,n,n,n,n,n,n
metabolite52,6.0028,n,n,n,n,n,n,n,n,n,n
metabolite52,5.8539,n,n,n,n,n,n,n,n,n,n
metabolite52,5.8065,n,n,n,n,n,n,n,n,n,n
metabolite52,5.7705,n,n,n,n,n,n,n,n,n,n
metabolite52,4.6061,n,n,n,n,n,n,n,n,n,n
metabolite52,4.5573,n,n,n,n,n,n,n,n,n,n
metabolite52,4.5077,n,n,n,n,n,n,n,n,n,n
metabolite52,4.4534,n,n,n,n,n,n,n,n,n,n
metabolite52,4.4031,n,n,n,n,n,n,n,n,n,n
metabolite52,4.0611,n,n,n,n,n,n,n,n,n,n
metabolite52,3.7563,n,n,n,n,n,n,n,n,n,n
metabolite52,3.7048,n,n,n,n,n,n,n,n,n,n
metabolite53,4.1362,n,n,n,n,n,n,n,n,n,n
metabolite53,2.9639,n,n,n,n,n,n,n,n,n,n
metabolite53,2.8467,n,n,n,n,n,n,n,n,n,n
metabolite53,2.8171,n,n,n,n,n,n,n,n,n,n
metabolite53,2.7878,n,n,n,n,n,n,n,n,n,n
metabolite53,2.6093,n,n,n,n,n,n,n,n,n,n
metabolite53,2.2664,n,n,n,n,n,n,n,n,n,n
metabolite53,2.2437,n,n,n,n,n,n,n,n,n,n
metabolite53,2.2175,n,n,n,n,n,n,n,n,n,n
metabolite53,2.161,n,n,n,n,n,n,n,n,n,n
metabolite53,2.0107,n,n,n,n,n,n,n,n,n,n
metabolite53,1.959,n,n,n,n,n,n,n,n,n,n
metabolite53,1.9349,n,n,n,n,n,n,n,n,n,n
metabolite53,1.9158,n,n,n,n,n,n,n,n,n,n
metabolite53,1.8856,n,n,n,n,n,n,n,n,n,n
metabolite53,1.6758,n,n,n,n,n,n,n,n,n,n
metabolite54,3.3729,n,n,n,n,n,n,n,n,n,n
metabolite54,1.7824,n,n,n,n,n,n,n,n,n,n
metabolite54,1.6256,n,n,n,n,n,n,n,n,n,n
metabolite55,5.9066,n,n,n,n,n,n,n,n,n,n
metabolite55,5.5217,n,n,n,n,n,n,n,n,n,n
metabolite55,5.3377,n,n,n,n,n,n,n,n,n,n
